abbreviation,expansion_pt,expansion_en
aa,ar ambiente,air
a/e,a esclarecer,to be clarified
ac:,ausculta cardíaca,cardiac auscultation
aco,anticoagulação,anticoagulation
aco plena,anticoagulação plena,full anticoagulation
acv,ausculta cardíaca,cardiac auscultation
acv:,ausculta cardíaca,cardiac auscultation
aht,ambos hemitórax,both hemithorax
aids,virus da imunodeficiência humana,human immunodeficiency virus
alt:,altura,height
amarelda,amarelada,yellow
amp,ampola,ampulla
aoe,abertura ocular expontânea,spontaneous eye opening
ap:,antecedentes pessoais,personal history
ar:,ausculta respiratória,respiratory auscultation
ar: mv,ausculta respiratória murmúrio vesicular,respiratory auscultation vesicular murmur
ar: mv bil,ausculta respiratória murmúrio vesicular bilateral,respiratory auscultation bilateral vesicular murmur
atb,antibioticoterapia,antibiotic therapy
atbterapia,antibioticoterapia,antibiotic therapy
bcf,bulhas cardíacas normofonéticas,normal heart sounds
bcnf,bulhas cardíacas normofonéticas,normal heart sounds
beg,bom estado geral,good general condition
bnf,bulhas normofonéticas,normal heart sounds
bnf s/s,bulhas normofonéticas sem sopros,normal heart sounds without murmurs
bpm,batimentos por minuto,beats per minute
c. albicans,candida albicans,candida albicans
c/,com,with
cd:,conduta,conduct
chaa,"corado, hidratado, anictérico, acianótico, afebril","flushed, hydrated, anicteric, acyanotic, afebrile"
chaaa,"corado, hidratado, anictérico, acianótico, afebril","flushed, hydrated, anicteric, acyanotic, afebrile"
civd,coagulação intravascular disseminada,disseminated intravascular coagulation
cti,centro de tratamento intensivo,intensive care unit
cti/ue,centro de tratamento intensivo,intensive care unit
dm,diabetes mellitus,diabetes mellitus
dm2,diabetes mellitus,diabetes mellitus
dm.,diabetes mellitus,diabetes mellitus
dm2.,diabetes mellitus,diabetes mellitus
dm1.,diabetes mellitus,diabetes mellitus
dm1,diabetes mellitus,diabetes mellitus
drc,doença renal crônica,chronic kidney disease
dva,droga vaso ativa,vasoactive drug
dva:,droga vaso ativa,vasoactive drug
e coli,escherichia coli,escherichia coli
e. coli,escherichia coli,escherichia coli
e.coli,escherichia coli,escherichia coli
eap,edema agudo de pulmão,acute pulmonary edema
eap: ,edema agudo de pulmão,acute pulmonary edema
eco tt,ecocardiografia transtorácica,transthoracic echocardiography
ecott,ecocardiografia transtorácica,transthoracic echocardiography
ef,enfermaria,ward
esq,esquerda,left
esq.,esquerda,left
fav,fístula artério-venosa,arteriovenous fistula
fc,frequencia cardíaca,heart rate
fc:,frequencia cardíaca,heart rate
fenta,fentanil,fentanyl
fr,frequencia respiratoria,respiratory rate
fr:,frequencia respiratoria,respiratory rate
gcs,escala de coma de Glasgow,Glasgow coma scale
has,hipertensão arterial sistêmica,systemic arterial hypertension
hd:,hipótese diagnóstica,diagnostic hypothesis
hda:,história doença atual,history of present illness
hiv,virus da imunodeficiência humana,human immunodeficiency virus
hma:,história doença atual,medical history
hmc,hemocultura,blood culture
hospitlar,hospitalar,hospital
hpma:,história doença atual,medical history
hpp:,história patológica pregressa,past medical history
icfer,insuficiência cardíaca com fração de ejeção reduzida,heart failure with reduced ejection fraction
icfer:,insuficiência cardíaca com fração de ejeção reduzida,heart failure with reduced ejection fraction
ics,infecção da corrente sanguínea,bloodstream infection
ics por s. aureus,infecção da corrente sanguínea por staphylococcus aureus,bloodstream infection by staphylococcus aureus
id:,identificação,identification
iot,intubação orotraqueal,orotracheal intubation
ipm,inspirações por minuto,inhalations per minute
ipm.,inspirações por minuto,inhalations per minute
itu,infecção do trato urinário,urinary tract infection
itu//,infecção do tratao urinário,urinary tract infection
lcr,líquor cefalo raquidiano,cerebrospinal fluid
lote,lúcido orientado no tempo e espaço,lucid oriented in time and space
lpp,lesão por pressão,pressure injury
meg,mal estado geral,poor general condition
mid,membro inferior direito,right lower limb
mida,midazolan,midazolam
mie,membro inferior esquerdo,left lower limb
mmi,membros inferiores,lower limbs
mmii,membros inferiores,lower limbs
mmii,membros inferiores,lower limbs
mmss,membros superiores,upper limbs
msd,membro superior direito,right upper limb
mse,membro superior esquerdo,left upper limb
multi r,multiresistente,multiresistant
